"Wining Team","Losing Team","Wining Score","Losing Score"
"Stanford","WI Green Bay",93,89
"Syracuse","Lehigh",57,47
"TCU","SE Louisiana",90,77
"Tennessee","UNC Asheville",82,78
"Tennessee St","Loyola MD",86,71
"Texas A&M","SC Upstate",104,64
"Texas Tech","High Point",77,73
"Troy","South Florida",82,77
"UNLV","Cal Poly SLO",74,72
"USC","San Diego",83,45
"Utah","Southern Utah",82,71
"Utah St","Weber St",73,70
"VA Commonwealth","Prairie View",75,50
"Valparaiso","IPFW",78,64
"Vanderbilt","Austin Peay",80,41
"Villanova","F Dickinson",91,54
"Virginia","Morgan St",86,48
"W Illinois","Wisconsin",69,67
"Wake Forest","UMBC",78,73
"Washington","Texas",77,71
"Washington St","Northern Arizona",82,70
"West Virginia","N Kentucky",107,61
"WI Milwaukee","Denver",71,58
"Wichita St","Charleston So",88,63
"William & Mary","NC State",85,68
"Wright St","South Dakota",77,69
"Xavier","Miami OH",81,72
"Yale","Fairfield",70,57
"Akron","Cleveland St",65,53
"Alabama St","Virginia Tech",85,82
"Appalachian St","Jacksonville",76,68
"Boston College","St Francis NY",75,49
"Bowling Green","New Orleans",79,61
"Butler","Citadel",144,71
"Colorado St","Northern Iowa",84,78
"Creighton","TX Southern",93,70
"CS Northridge","Wright St",72,67
"Davidson","UCF",90,85
"Denver","Santa Clara",55,33
"DePaul","W Michigan",69,63
"Duke","Bryant",113,75
"Idaho","San Jose St",74,54
"Kent","Youngstown St",79,70
"Kentucky","NJIT",87,57
"La Salle","Towson",78,76
"Massachusetts","Howard",85,79
"Memphis","Southern Miss",67,49
"N Illinois","South Dakota",72,65
"Nebraska","MS Valley St",97,51
"Ohio","FL Gulf Coast",85,75
"Penn St","VMI",62,50
"Providence","Harvard",76,64
"Radford","Georgetown",82,80
"SMU","Sam Houston St",85,50
"South Carolina","Norfolk St",84,69
"Tulsa","Cent Arkansas",98,81
"UT Arlington","Fordham",77,72
"WI Milwaukee","Lipscomb",71,65
"Winthrop","Hampton",102,95
"Army","Binghamton",75,60
"Cincinnati","Robert Morris",106,44
"Clemson","UT San Antonio",78,45
"CS Sacramento","Seattle",77,65
"Denver","Lipscomb",82,69
"Evansville","SE Missouri St",80,65
"Florida St","Nicholls St",109,62
"Hawaii","Coastal Car",74,63
"Illinois","N Dakota St",80,74
"Iowa","Coppin St",103,68
"Lafayette","St Peter's",87,86
"Minnesota","ULM",67,56
"Missouri","MD E Shore",73,55
"N Illinois","Wright St",65,59
"NC State","South Alabama",88,70
"Nevada","Montana St",83,62
"New Mexico","New Mexico St",83,74
"North Carolina","Fairfield",92,65
"Ohio St","Mt St Mary's",76,54
"Penn","Central Conn",77,61
"Purdue","Vermont",107,79
"Richmond","Stetson",108,85
"Rutgers","Howard",82,70
"S Illinois","Florida A&M",81,51
"Seton Hall","Wagner",69,59
"South Dakota","CS Northridge",76,72
"St Joseph's PA","Niagara",73,62
"St Louis","Hartford",85,68
"Stanford","Charleston So",93,59
"UC Davis","Portland",79,66
"UC Irvine","Loy Marymount",77,53
"UCLA","Cal Poly SLO",88,83
"Valparaiso","Iona",83,58
"W Carolina","UNC Asheville",90,81
"Wake Forest","Bucknell",90,82
"WI Milwaukee","Santa Clara",71,65
"Wisconsin","Siena",92,65
"Air Force","Tennessee Tech",80,70
"Arizona","Bradley",90,60
"Arizona St","Belmont",83,74
"Ball St","E Illinois",73,56
"Bethune-Cookman","TN Martin",86,79
"Boise St","Northern Arizona",101,81
"Boston Univ","Albany NY",69,64
"Brown","Holy Cross",71,55
"California","Santa Barbara",85,67
"Canisius","Lehigh",98,89
"Col Charleston","Navy",72,58
"Cornell","Colgate",101,98
"Duquesne","New Orleans",95,75
"East Carolina","Charlotte",88,74
"Florida","NC A&T",104,54
"Fresno St","Lamar",80,72
"G Washington","Virginia",73,68
"Georgia Tech","Tennessee",69,67
"Hawaii","Nevada",76,75
"Illinois St","Morehead St",67,66
"Indiana","Austin Peay",102,76
"Indiana St","Wyoming",70,55
"Iowa St","Chicago St",106,64
"Kansas St","Columbia",81,71
"Long Beach St","BYU",66,65
"Long Island","Loyola MD",71,68
"LSU","Kennesaw",91,69
"Marquette","IUPUI",75,71
"Mercer","George Mason",69,60
"Miami FL","ULL",93,77
"Michigan","Elon",88,68
"Mississippi","Ga Southern",82,72
"NJIT","South Florida",60,57
"North Florida","UTRGV",106,84
"Ohio","Tennessee St",75,67
"Oklahoma St","Ark Pine Bluff",86,72
"Old Dominion","Buffalo",77,58
"Oregon","Baylor",74,67
"Presbyterian","SC Upstate",74,73
"S Dakota St","Weber St",85,68
"San Francisco","Rice",80,54
"San Jose St","Montana",64,61
"Savannah St","Campbell",59,57
"South Carolina","Oral Roberts",84,66
"Southern Univ","Mississippi St",76,72
"St John's","UMBC",75,53
"St Mary's CA","Manhattan",89,63
"Texas A&M","SE Louisiana",100,58
"Towson","Morgan St",69,61
"Tulane","Drake",79,74
"UAB","Alabama St",72,70
"UNC Wilmington","E Kentucky",78,59
"USC","Monmouth NJ",101,90
"Utah","San Diego St",81,76
"VA Commonwealth","Radford",92,74
"Vanderbilt","Gardner Webb",98,62
"West Virginia","James Madison",86,73
"Yale","Sacred Heart",99,77
"Citadel","Stetson",94,93
"Colorado","Auburn",91,84
"Connecticut","New Hampshire",85,66
"Creighton","UT San Antonio",103,78
"CS Bakersfield","Idaho",68,45
"CS Fullerton","Pacific",77,76
"Dayton","Alabama",80,48
"E Washington","Seattle",76,70
"ETSU","WI Green Bay",103,90
"Florida St","Jacksonville",98,79
"Furman","Appalachian St",79,70
"Hampton","American Univ",61,48
"Jackson St","Southern Miss",78,60
"Kentucky","Duke",74,63
"La Salle","Rider",73,60
"Louisiana Tech","UT Arlington",80,68
"Louisville","Hartford",87,52
"Marist","Dartmouth",73,63
"Maryland","Georgetown",75,71
"Massachusetts","Harvard",69,63
"Michigan St","Kansas",79,73
"Murray St","MTSU",76,65
"NE Omaha","Missouri KC",95,89
"Northern Iowa","SF Austin",70,60
"Notre Dame","WI Milwaukee",86,78
"Ohio St","Grambling",82,55
"Oklahoma","Memphis",84,78
"Oregon St","Iona",93,73
"Penn","Delaware St",60,54
"Penn St","DePaul",68,62
"Syracuse","St Bonaventure",79,66
"Tulsa","Wichita St",77,67
"Valparaiso","Rhode Island",58,55
"Villanova","Nebraska",87,63
"W Illinois","IL Chicago",84,57
"W Michigan","San Diego",74,62
"William & Mary","Liberty",70,59
"Wisconsin","North Dakota",78,64
"Xavier","Missouri",78,66
"Akron","Arkansas",88,80
"Arizona St","Kennesaw",91,53
"Army","F Dickinson",96,85
"Belmont","WKU",90,85
"Bucknell","Robert Morris",81,76
"Cincinnati","Bowling Green",83,50
"Cornell","Binghamton",76,59
"Denver","Utah Valley",75,62
"Gonzaga","Northern Arizona",91,52
"High Point","Drexel",75,66
"Houston","Prairie View",110,69
"IPFW","Austin Peay",80,77
"MA Lowell","Sacred Heart",87,84
"NC State","IUPUI",79,56
"New Mexico","Loyola-Chicago",75,51
"New Mexico St","Tennessee Tech",76,63
"Niagara","Brown",75,66
"North Carolina","Wofford",78,58
"Northwestern","Fairfield",79,72
"Oakland","E Michigan",91,81
"Old Dominion","Morgan St",79,48
"Providence","Illinois",60,59
"Purdue","Incarnate Word",96,61
"Richmond","Wake Forest",91,82
"S Illinois","Kent",72,69
"Savannah St","Arkansas St",76,75
"St Joseph's PA","Buffalo",89,67
"St Louis","Edwardsville",70,60
"Toledo","Youngstown St",100,78
"UC Irvine","UCF",61,60
"UNLV","Southern Utah",84,64
"Vermont","Quinnipiac",83,70
"Virginia Tech","Jacksonville St",71,62
"Air Force","MS Valley St",65,64
"Alabama A&M","SE Missouri St",74,56
"Albany NY","Colgate",88,67
"Arizona","Boise St",88,76
"Boston College","Central Conn",82,57
"Butler","Missouri St",93,59
"Charlotte","Furman",77,68
"Clemson","TX Southern",76,56
"Colorado St","Loy Marymount",83,75
"Fresno St","San Francisco",78,71
"G Washington","South Florida",73,67
"George Mason","Mississippi",68,62
"Georgia Tech","WI Green Bay",107,77
"Grand Canyon","Alcorn St",79,46
"Hartford","St Peter's",67,66
"Indiana","Creighton",86,65
"Iowa","Marquette",89,61
"Long Beach St","Seton Hall",80,77
"Long Island","Maine",84,79
"Loyola MD","UMBC",76,57
"LSU","South Alabama",78,66
"Massachusetts","Cent Arkansas",89,62
"Memphis","Grambling",83,65
"Mercer","Alabama St",70,49
"Miami FL","Mississippi St",105,79
"Navy","SC Upstate",67,55
"Nebraska","Delaware St",75,60
"New Hampshire","Holy Cross",73,69
"NJIT","Boston Univ",90,76
"Oklahoma St","Towson",69,52
"Oregon St","Rice",77,69
"S Dakota St","Illinois St",83,67
"SMU","Stanford",85,70
"Southern Univ","Tulane",90,82
"St John's","Rutgers",61,59
"TCU","Houston Bap",90,63
"Temple","Minnesota",75,70
"Tennessee","Marshall",84,74
"Texas A&M","TAM C. Christi",95,70
"UAB","Troy",79,63
"UC Riverside","Santa Clara",77,63
"UCLA","Pepperdine",81,67
"ULM","Northwestern LA",80,64
"Utah","Texas Tech",73,63
"Vanderbilt","Stony Brook",79,72
"Virginia","Bradley",82,57
"Washington","Mt St Mary's",100,67
"Yale","Lehigh",79,67
"Alabama","ULL",105,93
"Arkansas","Charleston So",93,75
"Auburn","Ga Southern",92,62
"Baylor","Jackson St",77,60
"Bryant","Prairie View",71,58
"Butler","Temple",74,69
"California","East Carolina",70,62
"Colorado","Portland",85,63
"Duke","VA Commonwealth",79,71
"Duquesne","Penn St",78,52
"E Kentucky","Ball St",89,81
"George Mason","Oklahoma St",71,68
"Georgetown","Wisconsin",71,61
"Georgia","Murray St",63,52
"Hampton","Appalachian St",82,61
"Hofstra","Florida St",82,77
"Indiana St","Norfolk St",70,61
"Iona","Delaware",92,77
"James Madison","Florida Intl",64,61
"Kansas St","South Dakota",93,72
"Kentucky","Wright St",78,63
"Maryland","Rider",65,58
"Miami FL","Utah",90,66
"Miami OH","Lipscomb",70,68
"Michigan St","Ark Pine Bluff",92,46
"Minnesota","Missouri St",74,69
"Mississippi","Towson",76,60
"Montana St","San Jose St",81,69
"Northeastern","FL Atlantic",60,58
"Northwestern","Columbia",83,80
"Oklahoma","McNeese St",85,56
"Oral Roberts","TN Martin",70,66
"Oregon","Savannah St",77,59
"Pittsburgh","Detroit",95,79
"S Carolina St","Longwood",83,77
"Seton Hall","Bradley",67,59
"Siena","Radford",76,62
"South Carolina","DePaul",76,61
"Texas Tech","Mississippi St",74,72
"Tulsa","Ohio",90,88
"UT Arlington","Ohio St",73,68
"Villanova","ETSU",86,51
"Virginia","Long Beach St",87,52
"Washington St","Idaho St",85,67
"West Virginia","Stetson",103,62
"Winthrop","Jacksonville St",80,69
"Xavier","Michigan",86,70
"Ark Little Rock","San Diego St",49,43
"Ball St","Longwood",78,67
"Boston Univ","South Florida",78,66
"Bucknell","Manhattan",80,67
"Buffalo","NC A&T",86,68
"Cal Poly SLO","Austin Peay",73,64
"Canisius","Cornell",87,62
"Chattanooga","Illinois",81,77
"Connecticut","Furman",83,58
"CS Fullerton","San Diego",67,55
"Davidson","Col Charleston",82,81
"Dayton","William & Mary",69,66
"E Kentucky","S Carolina St",92,82
"Evansville","Belmont",93,88
"Fairfield","Sacred Heart",83,79
"FL Atlantic","Miami OH",75,69
"FL Gulf Coast","Youngstown St",104,101
"Florida","St Joseph's PA",74,63
"Florida Intl","TN Martin",69,62
"Florida St","DePaul",83,67
"Fordham","F Dickinson",85,62
"Gonzaga","Mt St Mary's",101,56
"High Point","W Carolina",75,69
"Houston","Florida A&M",97,52
"Illinois St","Houston Bap",72,56
"IPFW","Edwardsville",87,67
"Kent","Marist",79,72
"Lamar","Delaware St",77,66
"Louisiana Tech","Grambling",86,67
"Louisville","North Florida",89,61
"Loyola-Chicago","Toledo",69,62
"Missouri KC","Drake",79,73
"Monmouth NJ","Drexel",82,74
"Morehead St","N Kentucky",64,56
"Morgan St","Campbell",59,54
"MTSU","Tennessee St",69,66
"Nevada","Pacific",85,82
"New Mexico St","MS Valley St",85,46
"NJIT","Lafayette",80,66
"North Dakota","Bowling Green",77,59
"Northeastern","Lipscomb",79,67
"Northern Iowa","North Carolina",71,67
"Notre Dame","MA Lowell",83,57
"Ohio","Norfolk St",93,71
"Oral Roberts","James Madison",74,64
"Oregon St","Santa Barbara",71,59
"Presbyterian","Citadel",95,79
"Princeton","St Peter's",75,72
"Providence","Brown",94,73
"Purdue","Old Dominion",61,39
"Radford","Prairie View",64,56
"Rhode Island","Cleveland St",73,45
"Richmond","Bethune-Cookman",89,64
"Rutgers","Cent Arkansas",87,84
"S Dakota St","TCU",76,67
"S Illinois","Sam Houston St",86,81
"Samford","Kennesaw",77,65
"San Francisco","UC Riverside",58,57
"Siena","Bryant",78,59
"St Bonaventure","Loyola MD",94,82
"St Francis PA","American Univ",68,48
"St Louis","St Francis NY",76,60
"Syracuse","Elon",66,55
"Texas","TAM C. Christi",67,56
"Texas A&M","UNC Asheville",75,47
"UCF","UNC Greensboro",65,54
"UMBC","N Colorado",81,72
"UNC Wilmington","W Michigan",80,76
"USC","New Mexico",90,82
"UT San Antonio","Southern Utah",82,79
"UTEP","Texas St",77,62
"Vermont","Niagara",85,67
"Virginia Tech","VMI",76,52
"W Illinois","E Illinois",83,63
"WKU","Stony Brook",67,66
"Wagner","Maine",87,73
"Washington","Penn",104,67
"Wofford","MD E Shore",73,63
"Air Force","Robert Morris",64,52
"Arizona","Northwestern LA",61,42
"Arkansas St","Jackson St",78,69
"Austin Peay","N Colorado",91,76
"Ball St","S Carolina St",72,60
"Boston College","Harvard",69,56
"Bowling Green","Youngstown St",79,72
"Buffalo","Vermont",77,71
"Cal Poly SLO","UMBC",78,65
"Cincinnati","Ark Pine Bluff",99,50
"Colorado","NE Omaha",87,82
"Colorado St","Oakland",95,89
"Columbia","Lehigh",88,61
"Creighton","Rutgers",85,75
"Duke","Georgetown",86,84
"E Kentucky","Longwood",110,97
"ETSU","Georgia Tech",69,68
"FL Gulf Coast","North Dakota",73,60
"Fresno St","Rice",82,65
"G Washington","Army",92,81
"Hawaii","Nicholls St",99,74
"Lipscomb","FL Atlantic",79,65
"Long Island","NC Central",78,77
"Miami FL","Butler",85,75
"Miami OH","Northeastern",67,61
"Mississippi St","Missouri St",84,70
"Montana St","Wyoming",83,82
"Nebraska","SE Louisiana",92,65
"Niagara","NC A&T",73,72
"Oklahoma St","Long Beach St",82,77
"Oral Roberts","Florida Intl",76,70
"Oregon","Valparaiso",73,67
"Portland","Abilene Chr",87,57
"Portland St","UTRGV",79,61
"Purdue","Florida",85,70
"Quinnipiac","Holy Cross",62,56
"Seton Hall","Mississippi",75,63
"SMU","Yale",71,69
"South Carolina","Hofstra",94,84
"St Joseph's PA","Old Dominion",66,64
"St Mary's CA","Stanford",78,61
"Tennessee","Gardner Webb",89,64
"Texas Tech","Minnesota",81,68
"TN Martin","James Madison",78,75
"Towson","Bradley",62,60
"Tulane","Appalachian St",76,48
"Tulsa","Indiana St",67,59
"UAB","Jacksonville St",61,55
"Utah","Temple",74,68
"UTEP","Alcorn St",88,66
"Villanova","Akron",75,56
"Virginia","George Mason",83,66
"Wisconsin","VA Commonwealth",74,73
"Arizona St","NC State",79,76
"Baylor","Savannah St",100,61
"Belmont","South Alabama",98,85
"Bowling Green","FL Gulf Coast",82,77
"California","Sam Houston St",89,63
"Cent Arkansas","UT San Antonio",98,84
"Davidson","Mercer",77,71
"DePaul","Norfolk St",82,78
"Drake","WKU",81,79
"Florida St","Ohio",90,81
"Grand Canyon","MS Valley St",94,60
"Howard","TX Southern",87,81
"Idaho","North Texas",65,63
"Illinois","Chicago St",82,79
"Indiana St","Hofstra",67,66
"Iowa St","Chattanooga",83,63
"Kansas St","Missouri",66,42
"Kennesaw","IUPUI",71,63
"La Salle","Lafayette",83,75
"Marquette","LSU",81,80
"Massachusetts","Clemson",82,65
"Michigan St","E Michigan",89,65
"Murray St","WI Milwaukee",66,63
"North Carolina","Northwestern",80,69
"Pepperdine","Duquesne",84,70
"Providence","NJIT",83,76
"Samford","Troy",83,79
"San Diego St","East Carolina",79,54
"Seattle","E Washington",58,52
"South Carolina","Tulsa",83,75
"UC Irvine","Santa Clara",79,61
"UCLA","UNLV",77,75
"USC","CS Northridge",96,61
"UT Arlington","Memphis",68,64
"Vanderbilt","St John's",92,55
"Wake Forest","Indiana",82,78
"Weber St","C Michigan",63,60
"West Virginia","Bethune-Cookman",97,44
"Xavier","N Kentucky",78,66
"Youngstown St","North Dakota",79,69
"Alabama A&M","Jacksonville St",73,69
"Belmont","Kennesaw",80,55
"Binghamton","Central Conn",81,75
"Campbell","Edwardsville",77,74
"Charleston So","ETSU",77,76
"Cincinnati","SE Louisiana",64,49
"Cleveland St","Rider",57,52
"Coastal Car","Col Charleston",67,61
"Colorado St","Abilene Chr",108,100
"Columbia","Wofford",70,59
"CS Fullerton","Southern Utah",80,66
"CS Sacramento","UC Davis",84,79
"Delaware","F Dickinson",73,72
"Duquesne","WI Milwaukee",96,92
"Fairfield","MD E Shore",113,74
"Fordham","Colgate",84,58
"G Washington","Gardner Webb",94,65
"Hartford","Niagara",77,73
"Idaho","Troy",69,63
"Indiana","St John's",83,73
"IPFW","Miami OH",57,53
"Kansas","UCLA",92,73
"Kent","St Francis PA",79,60
"Kentucky","Boston Univ",82,62
"Louisiana Tech","Ohio St",82,74
"Louisville","St Francis NY",85,41
"Marquette","Arizona St",78,73
"Maryland","Illinois St",77,66
"Morehead St","Marshall",85,61
"Murray St","Pepperdine",59,55
"NC State","LSU",83,72
"Nebraska","Ark Pine Bluff",67,44
"New Hampshire","Brown",88,77
"New Mexico St","Robert Morris",81,71
"North Carolina","Kansas St",80,70
"Northwestern","Missouri",67,62
"Oklahoma","Incarnate Word",96,63
"Portland","Alcorn St",97,65
"Quinnipiac","NC Central",69,59
"Radford","Penn St",86,74
"Rhode Island","TCU",66,60
"S Dakota St","Houston Bap",92,68
"S Illinois","Oakland",97,88
"Samford","North Texas",74,72
"Siena","Bucknell",83,81
"South Alabama","IUPUI",78,68
"South Florida","Albany NY",63,61
"St Bonaventure","Canisius",77,73
"St Louis","North Florida",70,57
"Stony Brook","Loyola MD",76,63
"Tennessee","Army",95,80
"Tennessee Tech","Jackson St",86,82
"UTRGV","SE Missouri St",83,74
"UC Riverside","Delaware St",81,55
"Utah St","Utah Valley",81,55
"UTEP","Florida A&M",72,54
"Valparaiso","Oregon St",63,57
"Vanderbilt","Wake Forest",86,64
"Virginia Tech","NC A&T",90,60
"VMI","Presbyterian",76,61
"WKU","C Michigan",88,60
"Weber St","Drake",74,58
"WI Green Bay","Akron",66,63
"Winthrop","SC Upstate",79,78
"BYU","MS Valley St",75,68
"Citadel","Ga Southern",95,90
"Clemson","Rutgers",76,58
"Colorado","Air Force",81,70
"Connecticut","Michigan",74,60
"Creighton","Massachusetts",97,76
"Denver","Idaho St",79,69
"Drake","Pepperdine",69,53
"Duke","Yale",80,61
"Duquesne","WKU",81,73
"Florida","Vermont",86,62
"Florida Intl","Long Island",80,72
"Georgia","High Point",49,46
"Gonzaga","Washington",80,64
"Harvard","Bryant",80,45
"Holy Cross","Sacred Heart",69,60
"Howard","Cent Arkansas",73,54
"Kansas","Vanderbilt",70,63
"Loy Marymount","CS Northridge",82,80
"Maine","Longwood",92,82
"Manhattan","George Mason",69,67
"Maryland","Rhode Island",86,63
"Mississippi","Georgia St",68,59
"N Dakota St","Montana",73,53
"Navy","UMBC",75,54
"NE Omaha","N Colorado",105,85
"Nevada","Portland St",76,73
"New Mexico","Nicholls St",75,63
"New Orleans","Bradley",64,51
"Oregon","Arkansas St",91,68
"Penn","La Salle",80,64
"Pittsburgh","Cornell",93,49
"Princeton","Lafayette",104,52
"Rice","Lamar",92,84
"Rider","Houston Bap",67,56
"S Dakota St","Cleveland St",77,66
"Samford","Idaho",75,58
"Santa Barbara","San Francisco",68,61
"Syracuse","Charlotte",83,70
"TCU","Illinois St",71,60
"Texas A&M","Texas",84,73
"Toledo","San Jose St",89,74
"Troy","North Texas",86,74
"TX Southern","UT San Antonio",91,80
"UNLV","Indiana",72,69
"UT Arlington","Grambling",73,40
"VA Commonwealth","American Univ",72,44
"Virginia","Lehigh",80,54
"Wake Forest","UCLA",80,77
"Weber St","Murray St",75,59
"WI Milwaukee","C Michigan",84,78
"William & Mary","Hampton",86,67
"Wisconsin","Prairie View",85,67
"Wyoming","CS Bakersfield",68,64
"Appalachian St","Liberty",73,62
"Arizona","Santa Clara",75,73
"Ark Little Rock","East Carolina",54,46
"Boise St","UC Irvine",71,64
"Dayton","Iowa",82,77
"Elon","Mt St Mary's",79,74
"Georgia Tech","Arkansas",83,73
"Loyola-Chicago","San Diego",67,57
"Mercer","Tulane",71,61
"Michigan","Charlotte",102,47
"Michigan St","Boston College",99,68
"Monmouth NJ","Notre Dame",70,68
"Providence","Evansville",74,64
"San Diego St","California",72,58
"SF Austin","W Michigan",79,71
"Stetson","Bethune-Cookman",83,70
"Syracuse","Connecticut",79,76
"TAM C. Christi","Furman",73,69
"Texas","Washington",82,70
"Texas A&M","Gonzaga",62,61
"UNC Asheville","Drexel",85,66
"USC","Wichita St",72,69
"Villanova","Stanford",59,45
"West Virginia","Richmond",67,59
"Xavier","Alabama",64,45
"Abilene Chr","Florida A&M",72,62
"Akron","Charleston So",82,58
"Alabama","Wichita St",64,60
"Albany NY","NJIT",74,73
"Army","Ark Pine Bluff",81,60
"Auburn","Northwestern LA",119,81
"Baylor","Arkansas St",94,72
"Chattanooga","Alabama St",95,58
"Cincinnati","Nebraska",65,61
"Col Charleston","W Carolina",57,56
"Colorado St","Portland",90,74
"Dayton","Monmouth NJ",73,70
"East Carolina","Stetson",93,73
"Evansville","Santa Clara",69,57
"Fairfield","Columbia",82,81
"Florida","FL Gulf Coast",70,50
"Fresno St","Delaware St",80,59
"Furman","Mt St Mary's",69,60
"G Washington","Tennessee",73,70
"Ga Southern","SC Upstate",84,80
"Gardner Webb","SE Louisiana",77,68
"Georgia St","IUPUI",78,72
"Gonzaga","Connecticut",73,70
"Illinois","UAB",72,58
"Iowa St","Virginia Tech",99,77
"IPFW","Jacksonville",71,63
"Jackson St","Savannah St",69,42
"Jacksonville St","Chicago St",68,65
"James Madison","Marshall",89,75
"Kentucky","South Florida",84,63
"Louisiana Tech","NC Central",71,50
"MD E Shore","St Francis PA",70,57
"Memphis","Ohio St",81,76
"Mercer","Appalachian St",71,70
"Michigan","Texas",78,72
"Michigan St","Boise St",77,67
"Minnesota","NE Omaha",93,90
"MTSU","UNC Asheville",63,61
"Navy","UNC Greensboro",70,66
"NC State","Winthrop",87,79
"North Florida","Hartford",81,60
"Northeastern","Miami FL",78,77
"Notre Dame","Iowa",68,62
"Oakland","Alcorn St",84,51
"Oklahoma St","Long Beach St",79,73
"Providence","Arizona",69,65
"Rice","UC Riverside",87,81
"Richmond","California",94,90
"Sam Houston St","Bethune-Cookman",71,46
"San Jose St","San Diego",76,67
"South Carolina","Lipscomb",92,76
"Stanford","Arkansas",69,66
"Syracuse","Texas A&M",74,67
"TAM C. Christi","Elon",85,81
"Tennessee Tech","Robert Morris",85,72
"Toledo","Loyola-Chicago",82,74
"Tulane","SF Austin",60,59
"UC Irvine","Boston College",80,67
"Utah","Idaho St",102,72
"UTEP","S Illinois",71,66
"Villanova","Georgia Tech",69,52
"W Michigan","Liberty",68,58
"Washington","Charlotte",71,66
"West Virginia","San Diego St",72,50
"Xavier","USC",87,77
"Air Force","New Mexico St",66,64
"Alabama St","Chicago St",66,64
"American Univ","New Hampshire",68,50
"Ark Little Rock","Tulsa",64,60
"Ark Pine Bluff","SE Louisiana",62,60
"Army","Gardner Webb",103,98
"Austin Peay","Samford",74,73
"Ball St","Valparaiso",69,66
"Boston Univ","Binghamton",75,65
"Buffalo","Canisius",98,96
"Butler","Edwardsville",89,73
"BYU","Belmont",95,81
"Campbell","Coastal Car",79,73
"Chattanooga","Jacksonville St",62,52
"Cincinnati","G Washington",61,56
"Citadel","SC Upstate",88,81
"Colgate","UMBC",71,63
"Creighton","W Illinois",97,67
"CS Fullerton","Nevada",75,66
"Denver","South Alabama",69,56
"Drake","IL Chicago",83,62
"E Kentucky","Southern Utah",98,85
"E Washington","Pacific",70,63
"F Dickinson","St Peter's",77,62
"Florida A&M","Alcorn St",73,71
"Fordham","Manhattan",87,64
"George Mason","Wright St",66,39
"Georgetown","Bryant",77,47
"High Point","Morgan St",82,72
"Hofstra","St Bonaventure",89,83
"Houston","ULM",76,64
"Howard","William & Mary",79,77
"Iowa St","Illinois",84,73
"IPFW","UNC Greensboro",64,58
"Longwood","Columbia",70,69
"Louisville","St Louis",77,57
"Loy Marymount","SE Missouri St",73,60
"Maryland","Cleveland St",80,63
"Miami OH","UCF",64,63
